año,BPCOD,delito,medio_comision,medio_etiqueta,es_digital,sexo_label,grupo_edad,area_label,CVE_ENT,NOM_ENT,FAC_DEL,FAC_DEL_AM,BP4_1,BP5_1,BP5_1A_1,BP5_1A_2,BP5_1A_3,BP5_1A_4,BP5_3
2011,2,Robo de accesorios de vehículo,no_aplica,No aplica (delito de hogar),0,No especificado,No especificado,Urbana,,,   446,,,,,,,,
2011,2,Robo de accesorios de vehículo,no_aplica,No aplica (delito de hogar),0,No especificado,No especificado,Urbana,,,   446,,,,,,,,
2011,2,Robo de accesorios de vehículo,no_aplica,No aplica (delito de hogar),0,No especificado,No especificado,Urbana,,,   446,,,,,,,,
2011,2,Robo de accesorios de vehículo,no_aplica,No aplica (delito de hogar),0,No especificado,No especificado,Urbana,,,   446,,,,,,,,
2011,2,Robo de accesorios de vehículo,no_aplica,No aplica (delito de hogar),0,No especificado,No especificado,Urbana,,,   555,,,,,,,,
2011,6,Robo en otra forma,presencial,Presencial (cara a cara),0,No especificado,No especificado,Urbana,,,  1093,,,,,,,,
2011,5,Robo / asalto en calle o transporte,presencial,Presencial (cara a cara),0,No especificado,No especificado,Urbana,,,  2203,,,,,,,,
2011,12,Secuestro,presencial,Presencial (cara a cara),0,No especificado,No especificado,Urbana,,,  2203,,,,,,,,
2011,1,Robo total de vehículo,no_aplica,No aplica (delito de hogar),0,No especificado,No especificado,Urbana,,,   413,,,,,,,,
2011,10,Amenazas,presencial,Presencial (cara a cara),0,No especificado,No especificado,Urbana,,,   414,,,,,,,,
2011,8,Fraude al consumidor,no_especificado,Sin información,0,No especificado,No especificado,Urbana,,,   824,,,1,,,,,2
2011,8,Fraude al consumidor,no_especificado,Sin información,0,No especificado,No especificado,Urbana,,,   854,,,1,,,,,2
2011,8,Fraude al consumidor,no_especificado,Sin información,0,No especificado,No especificado,Urbana,,,   897,,,1,,,,,2
2011,8,Fraude al consumidor,no_especificado,Sin información,0,No especificado,No especificado,Urbana,,,   862,,,1,,,,,1
2011,3,Vandalismo / daño a propiedad,no_aplica,No aplica (delito de hogar),0,No especificado,No especificado,Urbana,,,   569,,,,,,,,
2011,2,Robo de accesorios de vehículo,no_aplica,No aplica (delito de hogar),0,No especificado,No especificado,Urbana,,,   413,,,,,,,,
2011,10,Amenazas,presencial,Presencial (cara a cara),0,No especificado,No especificado,Urbana,,,   817,,,,,,,,
2011,2,Robo de accesorios de vehículo,no_aplica,No aplica (delito de hogar),0,No especificado,No especificado,Urbana,,,   413,,,,,,,,
2011,2,Robo de accesorios de vehículo,no_aplica,No aplica (delito de hogar),0,No especificado,No especificado,Urbana,,,   413,,,,,,,,
2011,2,Robo de accesorios de vehículo,no_aplica,No aplica (delito de hogar),0,No especificado,No especificado,Urbana,,,   426,,,,,,,,
2011,1,Robo total de vehículo,no_aplica,No aplica (delito de hogar),0,No especificado,No especificado,Urbana,,,   426,,,,,,,,
2011,2,Robo de accesorios de vehículo,no_aplica,No aplica (delito de hogar),0,No especificado,No especificado,Urbana,,,   426,,,,,,,,
2011,2,Robo de accesorios de vehículo,no_aplica,No aplica (delito de hogar),0,No especificado,No especificado,Urbana,,,   426,,,,,,,,
2011,2,Robo de accesorios de vehículo,no_aplica,No aplica (delito de hogar),0,No especificado,No especificado,Urbana,,,   426,,,,,,,,
2011,8,Fraude al consumidor,no_especificado,Sin información,0,No especificado,No especificado,Urbana,,,   897,,,1,,,,,2
2011,8,Fraude al consumidor,no_especificado,Sin información,0,No especificado,No especificado,Urbana,,,   897,,,1,,,,,2
2011,2,Robo de accesorios de vehículo,no_aplica,No aplica (delito de hogar),0,No especificado,No especificado,Urbana,,,   460,,,,,,,,
2011,2,Robo de accesorios de vehículo,no_aplica,No aplica (delito de hogar),0,No especificado,No especificado,Urbana,,,   460,,,,,,,,
