edicion_envipe,anio_referencia,ambito,unidad_medida,serie_id,indicador_id,indicador,delito,medio_comision,estatus,variable_fuente,bpcod_filtro,valor_filtro,estimacion_incidentes,estimacion_incidentes_redondeada,n_muestra_numerador,estimacion_total_delito,n_muestra_total_delito,porcentaje_sobre_total_delito,estimacion_respuestas_validas,n_muestra_respuestas_validas,porcentaje_sobre_respuestas_validas,factor_expansion,multirrespuesta,los_componentes_pueden_traslaparse,comparabilidad_historica,ruptura_serie,precision_calculada,publicar_sin_cv_ee_ic,archivo_zip,archivo_dbf,sha256_zip,url_edicion_inegi,url_documento_regla,url_diseno_muestral,nota_metodologica
2013,2012,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_ARMONIZADA,TOTAL_FRAUDE_EXTORSION_TELECOM_ARMONIZADO,Total armonizado: fraude por internet/correo y extorsión por teléfono o internet/correo,Fraude + extorsión,Medios de telecomunicaciones definidos por preguntas históricas,estimado,BP4_1+BP5_1,07|08|09,"BP4_1=5;BP5_1=1,3",5583722.0,5583722,5913,8616633.0,9646,64.80166905100867,8448991.0,9467,66.08744168386498,FAC_DEL,No,No,"Armonizada, no estrictamente comparable; ruptura conceptual en 2012",No estimable con la misma definición en 2024,No,No recomendado,bd_envipe13_dbf.zip,tmod_vic.dbf,b0b9fd1d1dafc12c22162bf695aa3c95ad4c8e86bf00171f082f69e79b54f890,https://www.inegi.org.mx/programas/envipe/2013/,https://www.inegi.org.mx/contenidos/programas/envipe/2013/doc/envipe13_manual_ent.pdf | https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,Suma sin doble conteo porque fraude y extorsión son BPCOD distintos. No incluye amenazas ni hostigamiento antes de 2024 porque el instrumento no captaba su medio de comisión.
2013,2012,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,EXTORSION_INTERNET_CORREO,Extorsiones por internet o correo electrónico,Extorsión,Internet/correo electrónico,estimado,BP5_1,09,3,23379.0,23379,23,5994034.0,6388,0.3900378276132568,5899651.0,6297,0.3962776781202821,FAC_DEL,No,No,Sí hasta el año de referencia 2023,Sí en 2024: BP5_1 cambia de significado,No,No recomendado,bd_envipe13_dbf.zip,tmod_vic.dbf,b0b9fd1d1dafc12c22162bf695aa3c95ad4c8e86bf00171f082f69e79b54f890,https://www.inegi.org.mx/programas/envipe/2013/,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,BP5_1 clasifica el medio/tipo de extorsión hasta ENVIPE 2024 (datos 2023).
2013,2012,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,EXTORSION_MEDIOS_TELECOM,Extorsiones por teléfono o internet/correo electrónico,Extorsión,Teléfono o internet/correo electrónico (unión),estimado,BP5_1,09,1|3,5528720.0,5528720,5834,5994034.0,6388,92.2370477044341,5899651.0,6297,93.71266198627681,FAC_DEL,No,No,Sí hasta el año de referencia 2023,Sí en 2024: BP5_1 cambia de significado,No,No recomendado,bd_envipe13_dbf.zip,tmod_vic.dbf,b0b9fd1d1dafc12c22162bf695aa3c95ad4c8e86bf00171f082f69e79b54f890,https://www.inegi.org.mx/programas/envipe/2013/,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,BP5_1 clasifica el medio/tipo de extorsión hasta ENVIPE 2024 (datos 2023).
2013,2012,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,EXTORSION_TELEFONICA,Extorsiones telefónicas,Extorsión,Llamada telefónica,estimado,BP5_1,09,1,5505341.0,5505341,5811,5994034.0,6388,91.84700987682085,5899651.0,6297,93.31638430815653,FAC_DEL,No,No,Sí hasta el año de referencia 2023,Sí en 2024: BP5_1 cambia de significado,No,No recomendado,bd_envipe13_dbf.zip,tmod_vic.dbf,b0b9fd1d1dafc12c22162bf695aa3c95ad4c8e86bf00171f082f69e79b54f890,https://www.inegi.org.mx/programas/envipe/2013/,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,BP5_1 clasifica el medio/tipo de extorsión hasta ENVIPE 2024 (datos 2023).
2013,2012,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,FRAUDE_INTERNET_CORREO,Fraudes por internet o correo electrónico,Fraude,Internet/correo electrónico,estimado,BP4_1,07|08,5,55002.0,55002,79,2622599.0,3258,2.0972325544240658,2549340.0,3170,2.157499588128692,FAC_DEL,No,No,Condicionada: desde 2012 cambia la clasificación y cobertura del fraude,No,No,No recomendado,bd_envipe13_dbf.zip,tmod_vic.dbf,b0b9fd1d1dafc12c22162bf695aa3c95ad4c8e86bf00171f082f69e79b54f890,https://www.inegi.org.mx/programas/envipe/2013/,https://www.inegi.org.mx/contenidos/programas/envipe/2013/doc/envipe13_manual_ent.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,Desde datos 2012: fraude BPCOD=07/08 y BP4_1=5 es internet/correo electrónico.
2014,2013,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_ARMONIZADA,TOTAL_FRAUDE_EXTORSION_TELECOM_ARMONIZADO,Total armonizado: fraude por internet/correo y extorsión por teléfono o internet/correo,Fraude + extorsión,Medios de telecomunicaciones definidos por preguntas históricas,estimado,BP4_1+BP5_1,07|08|09,"BP4_1=5;BP5_1=1,3",7387592.0,7387592,6025,10963501.0,9267,67.38351189095528,10932506.0,9235,67.5745524402182,FAC_DEL,No,No,"Armonizada, no estrictamente comparable; ruptura conceptual en 2012",No estimable con la misma definición en 2024,No,No recomendado,bd_envipe2014_dbf.zip,bd_envipe2014/bd_envipe2014/TMod_Vic.dbf,8f1d0eb519a0ceabe36d187d9a49734dbef97f219b86eea9084ebd1818973f77,https://www.inegi.org.mx/programas/envipe/2014/,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf | https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,Suma sin doble conteo porque fraude y extorsión son BPCOD distintos. No incluye amenazas ni hostigamiento antes de 2024 porque el instrumento no captaba su medio de comisión.
2014,2013,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,EXTORSION_INTERNET_CORREO,Extorsiones por internet o correo electrónico,Extorsión,Internet/correo electrónico,estimado,BP5_1,09,3,17266.0,17266,17,7794040.0,6373,0.22152824465873924,7770369.0,6351,0.2222030897116984,FAC_DEL,No,No,Sí hasta el año de referencia 2023,Sí en 2024: BP5_1 cambia de significado,No,No recomendado,bd_envipe2014_dbf.zip,bd_envipe2014/bd_envipe2014/TMod_Vic.dbf,8f1d0eb519a0ceabe36d187d9a49734dbef97f219b86eea9084ebd1818973f77,https://www.inegi.org.mx/programas/envipe/2014/,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,BP5_1 clasifica el medio/tipo de extorsión hasta ENVIPE 2024 (datos 2023).
2014,2013,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,EXTORSION_MEDIOS_TELECOM,Extorsiones por teléfono o internet/correo electrónico,Extorsión,Teléfono o internet/correo electrónico (unión),estimado,BP5_1,09,1|3,7340444.0,7340444,5982,7794040.0,6373,94.18021975766098,7770369.0,6351,94.467122475136,FAC_DEL,No,No,Sí hasta el año de referencia 2023,Sí en 2024: BP5_1 cambia de significado,No,No recomendado,bd_envipe2014_dbf.zip,bd_envipe2014/bd_envipe2014/TMod_Vic.dbf,8f1d0eb519a0ceabe36d187d9a49734dbef97f219b86eea9084ebd1818973f77,https://www.inegi.org.mx/programas/envipe/2014/,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,BP5_1 clasifica el medio/tipo de extorsión hasta ENVIPE 2024 (datos 2023).
2014,2013,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,EXTORSION_TELEFONICA,Extorsiones telefónicas,Extorsión,Llamada telefónica,estimado,BP5_1,09,1,7323178.0,7323178,5965,7794040.0,6373,93.95869151300225,7770369.0,6351,94.2449193854243,FAC_DEL,No,No,Sí hasta el año de referencia 2023,Sí en 2024: BP5_1 cambia de significado,No,No recomendado,bd_envipe2014_dbf.zip,bd_envipe2014/bd_envipe2014/TMod_Vic.dbf,8f1d0eb519a0ceabe36d187d9a49734dbef97f219b86eea9084ebd1818973f77,https://www.inegi.org.mx/programas/envipe/2014/,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,BP5_1 clasifica el medio/tipo de extorsión hasta ENVIPE 2024 (datos 2023).
2014,2013,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,FRAUDE_INTERNET_CORREO,Fraudes por internet o correo electrónico,Fraude,Internet/correo electrónico,estimado,BP4_1,07|08,5,47148.0,47148,43,3169461.0,2894,1.487571546076762,3162137.0,2884,1.4910169926223942,FAC_DEL,No,No,Condicionada: desde 2012 cambia la clasificación y cobertura del fraude,No,No,No recomendado,bd_envipe2014_dbf.zip,bd_envipe2014/bd_envipe2014/TMod_Vic.dbf,8f1d0eb519a0ceabe36d187d9a49734dbef97f219b86eea9084ebd1818973f77,https://www.inegi.org.mx/programas/envipe/2014/,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,Desde datos 2012: fraude BPCOD=07/08 y BP4_1=5 es internet/correo electrónico.
