SEXO,EMPLEO_TELECOM,EMPLEO_RADIO,FECHA,ANIO,TRIM
Mujeres,56218,17459,15/09/2019,2019,3
Hombres,139885,38620,15/12/2019,2019,4
Mujeres,68092,16885,15/12/2019,2019,4
Hombres,144071,33809,15/03/2020,2020,1
Mujeres,58725,16364,15/03/2020,2020,1
Hombres,152070,35883,15/09/2020,2020,3
Mujeres,81722,16124,15/09/2020,2020,3
Hombres,165313,41990,15/12/2020,2020,4
Mujeres,77177,15821,15/12/2020,2020,4
Hombres,166635,25746,15/03/2021,2021,1
Mujeres,80821,20842,15/03/2021,2021,1
Hombres,156983,32793,15/06/2021,2021,2
Mujeres,82182,13481,15/06/2021,2021,2
Hombres,179318,40732,15/09/2021,2021,3
Mujeres,91969,10909,15/09/2021,2021,3
Hombres,184379,32354,15/12/2021,2021,4
Mujeres,92111,14204,15/12/2021,2021,4
Hombres,182661,36229,15/03/2022,2022,1
Mujeres,78156,11862,15/03/2022,2022,1
Hombres,163813,31098,15/06/2022,2022,2
Mujeres,88074,18045,15/06/2022,2022,2
Hombres,178758,26304,15/09/2022,2022,3
Mujeres,84908,21505,15/09/2022,2022,3
Hombres,165215,28804,15/12/2022,2022,4
Mujeres,80990,15949,15/12/2022,2022,4
Hombres,186156,20952,15/03/2023,2023,1
Mujeres,86731,15019,15/03/2023,2023,1
Hombres,181997,22827,15/06/2023,2023,2
Mujeres,70138,18968,15/06/2023,2023,2
Hombres,181089,23225,15/09/2023,2023,3
Mujeres,76629,29001,15/09/2023,2023,3
Hombres,186076,28157,15/12/2023,2023,4
Mujeres,81890,20489,15/12/2023,2023,4
Hombres,177496,38553,15/03/2024,2024,1
Mujeres,86014,17168,15/03/2024,2024,1
Hombres,168483,29909,15/06/2024,2024,2
Mujeres,78689,24785,15/06/2024,2024,2
Hombres,172953,35258,15/09/2024,2024,3
Mujeres,72209,18143,15/09/2024,2024,3
Hombres,184711,19280,15/12/2024,2024,4
Mujeres,98446,12357,15/12/2024,2024,4
Hombres,165483,21158,15/03/2025,2025,1
Mujeres,67653,15370,15/03/2025,2025,1
Hombres,171206,26712,15/06/2025,2025,2
Mujeres,83886,9842,15/06/2025,2025,2
Hombres,151121,31696,15/09/2025,2025,3
Mujeres,81064,13546,15/09/2025,2025,3
Hombres,149298,28463,15/12/2025,2025,4
Mujeres,70785,9603,15/12/2025,2025,4
