anio,seccion,delito,modalidad_comision,cuest_modulo_envipe_7,cuest_modulo_envipe2025_2,estimacion,porcentaje,total_delito
2022,SECCIÓN V. EXTORSIÓN,Extorsión,Cobro de piso,5.1 ¿La extorsión fue...?,NA,33211,0.7026,4726724
2022,SECCIÓN V. EXTORSIÓN,Extorsión,Otro,5.1 ¿La extorsión fue...?,NA,59999,1.2694,4726724
2022,SECCIÓN V. EXTORSIÓN,Extorsión,No especificado,5.1 ¿La extorsión fue...?,NA,5474,0.1158,4726724
2023,SECCIÓN IV. FRAUDE,Fraude,Pago por un servicio/producto no entregado (al consumidor),4.1 ¿Qué tipo de fraude fue?,NA,3202141,48.9084,6547223
2023,SECCIÓN IV. FRAUDE,Fraude,Cheque falso o sin fondos,4.1 ¿Qué tipo de fraude fue?,NA,18511,0.2827,6547223
2023,SECCIÓN IV. FRAUDE,Fraude,Dinero falso,4.1 ¿Qué tipo de fraude fue?,NA,264969,4.047,6547223
2023,SECCIÓN IV. FRAUDE,Fraude,Tarjeta de débito o crédito,4.1 ¿Qué tipo de fraude fue?,NA,2663873,40.6871,6547223
2023,SECCIÓN IV. FRAUDE,Fraude,Por internet/correo electrónico,4.1 ¿Qué tipo de fraude fue?,NA,329826,5.0376,6547223
2023,SECCIÓN IV. FRAUDE,Fraude,Otro,4.1 ¿Qué tipo de fraude fue?,NA,60149,0.9187,6547223
2023,SECCIÓN IV. FRAUDE,Fraude,No especificado,4.1 ¿Qué tipo de fraude fue?,NA,7754,0.1184,6547223
2023,SECCIÓN V. EXTORSIÓN,Extorsión,Telefónica,5.1 ¿La extorsión fue...?,NA,4194543,85.5659,4902122
2023,SECCIÓN V. EXTORSIÓN,Extorsión,Laboral,5.1 ¿La extorsión fue...?,NA,48198,0.9832,4902122
2023,SECCIÓN V. EXTORSIÓN,Extorsión,Por internet/correo electrónico,5.1 ¿La extorsión fue...?,NA,88319,1.8016,4902122
2023,SECCIÓN V. EXTORSIÓN,Extorsión,En la calle,5.1 ¿La extorsión fue...?,NA,342993,6.9968,4902122
2023,SECCIÓN V. EXTORSIÓN,Extorsión,En negocio propio o familiar,5.1 ¿La extorsión fue...?,NA,83721,1.7079,4902122
2023,SECCIÓN V. EXTORSIÓN,Extorsión,Cobro de piso,5.1 ¿La extorsión fue...?,NA,36381,0.7421,4902122
2023,SECCIÓN V. EXTORSIÓN,Extorsión,Otro,5.1 ¿La extorsión fue...?,NA,65073,1.3274,4902122
2023,SECCIÓN V. EXTORSIÓN,Extorsión,No especificado,5.1 ¿La extorsión fue...?,NA,42894,0.875,4902122
2024,SECCIÓN IV. FRAUDE,Fraude,Pago por un servicio/producto no entregado (al consumidor),4.1 ¿Qué tipo de fraude fue?,NA,3511814,48.4008,7255689
2024,SECCIÓN IV. FRAUDE,Fraude,Cheque falso o sin fondos,4.1 ¿Qué tipo de fraude fue?,NA,13253,0.1827,7255689
2024,SECCIÓN IV. FRAUDE,Fraude,Dinero falso,4.1 ¿Qué tipo de fraude fue?,NA,211590,2.9162,7255689
2024,SECCIÓN IV. FRAUDE,Fraude,Tarjeta de débito o crédito,4.1 ¿Qué tipo de fraude fue?,NA,3100032,42.7255,7255689
2024,SECCIÓN IV. FRAUDE,Fraude,Por internet/correo electrónico,4.1 ¿Qué tipo de fraude fue?,NA,351065,4.8385,7255689
2024,SECCIÓN IV. FRAUDE,Fraude,Otro,4.1 ¿Qué tipo de fraude fue?,NA,53559,0.7382,7255689
2024,SECCIÓN IV. FRAUDE,Fraude,No especificado,4.1 ¿Qué tipo de fraude fue?,NA,14376,0.1981,7255689
2024,SECCIÓN V. EXTORSIÓN,Extorsión,Laboral,5.1 ¿La extorsión fue de tipo...?,NA,595196,10.4056,5719981
2024,SECCIÓN V. EXTORSIÓN,Extorsión,Cobro de piso,5.1 ¿La extorsión fue de tipo...?,NA,982361,17.1742,5719981
2024,SECCIÓN V. EXTORSIÓN,Extorsión,Otro,5.1 ¿La extorsión fue de tipo...?,NA,4142424,72.4202,5719981
2024,SECCIÓN I. TODOS LOS TIPOS DE DELITO,Fraude,Internet o medios electrónicos,NA,1.5a ¿El (DELITO) se realizó por medio de...?,5350580,73.7432,7255689
2024,SECCIÓN I. TODOS LOS TIPOS DE DELITO,Fraude,Llamada telefónica,NA,1.5a ¿El (DELITO) se realizó por medio de...?,546180,7.5276,7255689
2024,SECCIÓN I. TODOS LOS TIPOS DE DELITO,Fraude,Contacto presencial,NA,1.5a ¿El (DELITO) se realizó por medio de...?,1254166,17.2853,7255689
2024,SECCIÓN I. TODOS LOS TIPOS DE DELITO,Fraude,Otro medio,NA,1.5a ¿El (DELITO) se realizó por medio de...?,53145,0.7325,7255689
2024,SECCIÓN I. TODOS LOS TIPOS DE DELITO,Fraude,Sin medio sustantivo,NA,1.5a ¿El (DELITO) se realizó por medio de...?,51618,0.7114,7255689
2024,SECCIÓN I. TODOS LOS TIPOS DE DELITO,Extorsión,Internet o medios electrónicos,NA,1.5a ¿El (DELITO) se realizó por medio de...?,343963,6.0134,5719981
2024,SECCIÓN I. TODOS LOS TIPOS DE DELITO,Extorsión,Llamada telefónica,NA,1.5a ¿El (DELITO) se realizó por medio de...?,4835160,84.5311,5719981
2024,SECCIÓN I. TODOS LOS TIPOS DE DELITO,Extorsión,Contacto presencial,NA,1.5a ¿El (DELITO) se realizó por medio de...?,497338,8.6947,5719981
2024,SECCIÓN I. TODOS LOS TIPOS DE DELITO,Extorsión,Otro medio,NA,1.5a ¿El (DELITO) se realizó por medio de...?,10803,0.1889,5719981
2024,SECCIÓN I. TODOS LOS TIPOS DE DELITO,Extorsión,Sin medio sustantivo,NA,1.5a ¿El (DELITO) se realizó por medio de...?,32717,0.572,5719981
