anio,seccion,delito,modalidad_comision,cuest_modulo_envipe_7,cuest_modulo_envipe2025_2,estimacion,porcentaje,total_delito
2013,SECCIÓN IV. FRAUDE,Fraude,Cheque falso o sin fondos,4.1 ¿Qué tipo de fraude fue?,NA,39658,1.2513,3169461
2013,SECCIÓN IV. FRAUDE,Fraude,Dinero falso,4.1 ¿Qué tipo de fraude fue?,NA,216486,6.8304,3169461
2013,SECCIÓN IV. FRAUDE,Fraude,Tarjeta de débito o crédito,4.1 ¿Qué tipo de fraude fue?,NA,1077199,33.9868,3169461
2013,SECCIÓN IV. FRAUDE,Fraude,Por internet/correo electrónico,4.1 ¿Qué tipo de fraude fue?,NA,47148,1.4876,3169461
2013,SECCIÓN IV. FRAUDE,Fraude,Otro,4.1 ¿Qué tipo de fraude fue?,NA,17429,0.5499,3169461
2013,SECCIÓN IV. FRAUDE,Fraude,No especificado,4.1 ¿Qué tipo de fraude fue?,NA,7324,0.2311,3169461
2013,SECCIÓN V. EXTORSIÓN,Extorsión,Telefónica,5.1 ¿La extorsión fue...?,NA,7323178,93.9587,7794040
2013,SECCIÓN V. EXTORSIÓN,Extorsión,Laboral,5.1 ¿La extorsión fue...?,NA,43416,0.557,7794040
2013,SECCIÓN V. EXTORSIÓN,Extorsión,Por internet/correo electrónico,5.1 ¿La extorsión fue...?,NA,17266,0.2215,7794040
2013,SECCIÓN V. EXTORSIÓN,Extorsión,En la calle,5.1 ¿La extorsión fue...?,NA,171406,2.1992,7794040
2013,SECCIÓN V. EXTORSIÓN,Extorsión,En negocio propio o familiar,5.1 ¿La extorsión fue...?,NA,133761,1.7162,7794040
2013,SECCIÓN V. EXTORSIÓN,Extorsión,Cobro de piso,5.1 ¿La extorsión fue...?,NA,22140,0.2841,7794040
2013,SECCIÓN V. EXTORSIÓN,Extorsión,Otro,5.1 ¿La extorsión fue...?,NA,59202,0.7596,7794040
2013,SECCIÓN V. EXTORSIÓN,Extorsión,No especificado,5.1 ¿La extorsión fue...?,NA,23671,0.3037,7794040
2014,SECCIÓN IV. FRAUDE,Fraude,Pago por un servicio/producto no entregado (al consumidor),4.1 ¿Qué tipo de fraude fue?,NA,1814676,52.71,3442757
2014,SECCIÓN IV. FRAUDE,Fraude,Cheque falso o sin fondos,4.1 ¿Qué tipo de fraude fue?,NA,38733,1.1251,3442757
2014,SECCIÓN IV. FRAUDE,Fraude,Dinero falso,4.1 ¿Qué tipo de fraude fue?,NA,326131,9.473,3442757
2014,SECCIÓN IV. FRAUDE,Fraude,Tarjeta de débito o crédito,4.1 ¿Qué tipo de fraude fue?,NA,1143511,33.215,3442757
2014,SECCIÓN IV. FRAUDE,Fraude,Por internet/correo electrónico,4.1 ¿Qué tipo de fraude fue?,NA,49928,1.4502,3442757
2014,SECCIÓN IV. FRAUDE,Fraude,Otro,4.1 ¿Qué tipo de fraude fue?,NA,33632,0.9769,3442757
2014,SECCIÓN IV. FRAUDE,Fraude,No especificado,4.1 ¿Qué tipo de fraude fue?,NA,36146,1.0499,3442757
2014,SECCIÓN V. EXTORSIÓN,Extorsión,Telefónica,5.1 ¿La extorsión fue...?,NA,7546896,94.6962,7969585
2014,SECCIÓN V. EXTORSIÓN,Extorsión,Laboral,5.1 ¿La extorsión fue...?,NA,34268,0.43,7969585
2014,SECCIÓN V. EXTORSIÓN,Extorsión,Por internet/correo electrónico,5.1 ¿La extorsión fue...?,NA,16294,0.2045,7969585
2014,SECCIÓN V. EXTORSIÓN,Extorsión,En la calle,5.1 ¿La extorsión fue...?,NA,204662,2.568,7969585
2014,SECCIÓN V. EXTORSIÓN,Extorsión,En negocio propio o familiar,5.1 ¿La extorsión fue...?,NA,55188,0.6925,7969585
2014,SECCIÓN V. EXTORSIÓN,Extorsión,Cobro de piso,5.1 ¿La extorsión fue...?,NA,31281,0.3925,7969585
2014,SECCIÓN V. EXTORSIÓN,Extorsión,Otro,5.1 ¿La extorsión fue...?,NA,66733,0.8373,7969585
2014,SECCIÓN V. EXTORSIÓN,Extorsión,No especificado,5.1 ¿La extorsión fue...?,NA,14263,0.179,7969585
2015,SECCIÓN IV. FRAUDE,Fraude,Pago por un servicio/producto no entregado (al consumidor),4.1 ¿Qué tipo de fraude fue?,NA,1529623,47.4277,3225165
2015,SECCIÓN IV. FRAUDE,Fraude,Cheque falso o sin fondos,4.1 ¿Qué tipo de fraude fue?,NA,14365,0.4454,3225165
2015,SECCIÓN IV. FRAUDE,Fraude,Dinero falso,4.1 ¿Qué tipo de fraude fue?,NA,493092,15.2889,3225165
2015,SECCIÓN IV. FRAUDE,Fraude,Tarjeta de débito o crédito,4.1 ¿Qué tipo de fraude fue?,NA,1089451,33.7797,3225165
