zip_file,dbf_file,field_name,field_type,field_length,field_decimals
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_29_5,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_29_6,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_29_7,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_29_8,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_29_9,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_29_88,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_29_99,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_30_1,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_30_2,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_30_3,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_30_4,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_30_5,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_30_8,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_30_9,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_31_1,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_31_2,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_31_3,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_31_4,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_31_5,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_31_6,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_31_7,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_31_8,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_31_9,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_31_10,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_31_11,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_31_88,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_31_99,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_32_1,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_32_2,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_32_3,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_32_4,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_32_5,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_32_6,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_32_7,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_32_8,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_32_9,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_32_10,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_32_11,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_32_88,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_32_99,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_33,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_34,C,7,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP1_35,C,7,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP2_1,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP2_2,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP2_3,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP2_4,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP2_5,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP3_1_1,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP3_1_2,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP3_1_3,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP3_1_4,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP3_1_5,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP3_1_6,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP3_1_7,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP3_1_8,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP3_1_9,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP3_1_10,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP3_1_11,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP3_1_88,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP3_1_99,C,2,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP3_2,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP4_1,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP5_1,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP5_2_1,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP5_2_2,C,1,0
base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,BP5_2_3,C,1,0
