Año,Tipo de Delito,Medio de Comisión,Categoría del Medio,Registros en Muestra,Estimación Poblacional,Total Estimado del Año,% del Total del Año
2024,Robo de accesorios de vehículo,No aplica (delito de hogar),NO APLICA (HOGAR),5712,2741397,33423113,8.2
2024,Robo en otra forma,Presencial (cara a cara),PRESENCIAL,1608,1513412,33423113,4.53
2024,Robo total de vehículo,No aplica (delito de hogar),NO APLICA (HOGAR),1035,532701,33423113,1.59
2024,Secuestro,Presencial (cara a cara),PRESENCIAL,67,72559,33423113,0.22
2024,Vandalismo / daño a propiedad,No aplica (delito de hogar),NO APLICA (HOGAR),4732,2139424,33423113,6.4
2024,Violación sexual,Presencial (cara a cara),PRESENCIAL,94,96946,33423113,0.29
2025,Amenazas,Presencial (cara a cara),PRESENCIAL,3942,4485971,35595875,12.6
2025,Extorsión,Presencial (cara a cara),PRESENCIAL,3454,3727459,35595875,10.47
2025,Extorsión,Internet / redes sociales,INTERNET / DIGITAL,935,982361,35595875,2.76
2025,Extorsión,Teléfono — llamada de voz,TELEFÓNICO,514,547270,35595875,1.54
2025,Extorsión,Presencial + seguimiento digital,PRESENCIAL,386,414965,35595875,1.17
2025,Extorsión,Teléfono — SMS / WhatsApp,TELEFÓNICO,45,47926,35595875,0.13
2025,Fraude al consumidor,Presencial (cara a cara),PRESENCIAL,3070,3243646,35595875,9.11
2025,Fraude bancario,Teléfono (sin detalle),TELEFÓNICO,2967,3100032,35595875,8.71
2025,Fraude bancario,Internet / redes sociales,INTERNET / DIGITAL,323,351065,35595875,0.99
2025,Fraude bancario,Presencial (cara a cara),PRESENCIAL,247,268168,35595875,0.75
2025,Fraude bancario,Correo / mensajería física,OTRO MEDIO,169,224843,35595875,0.63
2025,Fraude bancario,Otro medio,OTRO MEDIO,42,53559,35595875,0.15
2025,Fraude bancario,Sin información,SIN INFORMACIÓN,6,14376,35595875,0.04
2025,Hostigamiento / abuso sexual,Presencial (cara a cara),PRESENCIAL,1606,2237310,35595875,6.29
2025,Lesiones físicas,Presencial (cara a cara),PRESENCIAL,1316,1523988,35595875,4.28
2025,Otro delito,Presencial (cara a cara),PRESENCIAL,217,250390,35595875,0.7
2025,Robo / asalto en calle o transporte,Presencial (cara a cara),PRESENCIAL,4014,5750434,35595875,16.15
2025,Robo a casa habitación,No aplica (delito de hogar),NO APLICA (HOGAR),3909,1535043,35595875,4.31
2025,Robo de accesorios de vehículo,No aplica (delito de hogar),NO APLICA (HOGAR),5782,2686135,35595875,7.55
2025,Robo en otra forma,Presencial (cara a cara),PRESENCIAL,1298,1236012,35595875,3.47
2025,Robo total de vehículo,No aplica (delito de hogar),NO APLICA (HOGAR),1028,526230,35595875,1.48
2025,Secuestro,Presencial (cara a cara),PRESENCIAL,76,75698,35595875,0.21
2025,Vandalismo / daño a propiedad,No aplica (delito de hogar),NO APLICA (HOGAR),4799,2145654,35595875,6.03
2025,Violación sexual,Presencial (cara a cara),PRESENCIAL,135,167340,35595875,0.47
