año,delito,medio_etiqueta,registros,estimacion
2015,Robo a casa habitación,No aplica (delito de hogar),5651,2050088.0
2015,Robo de accesorios de vehículo,No aplica (delito de hogar),7685,3408567.0
2015,Robo en otra forma,Presencial (cara a cara),1482,1192869.0
2015,Robo total de vehículo,No aplica (delito de hogar),1131,545052.0
2015,Secuestro,Presencial (cara a cara),81,79263.0
2015,Vandalismo / daño a propiedad,No aplica (delito de hogar),8279,3829856.0
2015,Violación sexual,Presencial (cara a cara),67,90487.0
2016,Amenazas,Presencial (cara a cara),2531,2340636.0
2016,Extorsión,Teléfono — llamada de voz,6207,6677177.0
2016,Extorsión,Sin información,410,394603.0
2016,Extorsión,Internet / redes sociales,31,26780.0
2016,Extorsión,Presencial (cara a cara),7,2318.0
2016,Fraude al consumidor,Presencial (cara a cara),1623,1454341.0
2016,Fraude bancario,Teléfono (sin detalle),1069,1089451.0
2016,Fraude bancario,Correo / mensajería física,305,507457.0
2016,Fraude bancario,Presencial (cara a cara),73,75282.0
2016,Fraude bancario,Internet / redes sociales,42,40459.0
2016,Fraude bancario,Sin información,30,29718.0
2016,Fraude bancario,Otro medio,31,28457.0
2016,Hostigamiento / abuso sexual,Presencial (cara a cara),561,629151.0
2016,Lesiones físicas,Presencial (cara a cara),1134,1072610.0
2016,Otro delito,Presencial (cara a cara),91,89008.0
2016,Robo / asalto en calle o transporte,Presencial (cara a cara),4839,8252297.0
2016,Robo a casa habitación,No aplica (delito de hogar),5598,2061119.0
2016,Robo de accesorios de vehículo,No aplica (delito de hogar),6679,2854511.0
2016,Robo en otra forma,Presencial (cara a cara),1202,1088607.0
2016,Robo total de vehículo,No aplica (delito de hogar),965,452001.0
2016,Secuestro,Presencial (cara a cara),63,66128.0
2016,Vandalismo / daño a propiedad,No aplica (delito de hogar),6443,2737485.0
2016,Violación sexual,Presencial (cara a cara),92,76039.0
2017,Amenazas,Presencial (cara a cara),2742,2409065.0
2017,Extorsión,Teléfono — llamada de voz,7008,7170019.0
2017,Extorsión,Sin información,332,294430.0
2017,Extorsión,Internet / redes sociales,35,29811.0
2017,Extorsión,Presencial (cara a cara),9,7898.0
2017,Extorsión,Presencial + seguimiento digital,2,1319.0
2017,Fraude al consumidor,Presencial (cara a cara),1799,1606472.0
2017,Fraude bancario,Teléfono (sin detalle),1429,1304484.0
2017,Fraude bancario,Correo / mensajería física,472,763211.0
2017,Fraude bancario,Presencial (cara a cara),83,77261.0
2017,Fraude bancario,Sin información,21,66256.0
2017,Fraude bancario,Internet / redes sociales,59,59407.0
2017,Fraude bancario,Otro medio,23,29041.0
2017,Hostigamiento / abuso sexual,Presencial (cara a cara),707,817975.0
2017,Lesiones físicas,Presencial (cara a cara),982,968451.0
2017,Otro delito,Presencial (cara a cara),121,107844.0
2017,Robo / asalto en calle o transporte,Presencial (cara a cara),5818,8052656.0
2017,Robo a casa habitación,No aplica (delito de hogar),5799,2044594.0
2017,Robo de accesorios de vehículo,No aplica (delito de hogar),7475,3029486.0
2017,Robo en otra forma,Presencial (cara a cara),1832,1578411.0
2017,Robo total de vehículo,No aplica (delito de hogar),1106,493727.0
2017,Secuestro,Presencial (cara a cara),76,79864.0
2017,Vandalismo / daño a propiedad,No aplica (delito de hogar),6618,2734911.0
2017,Violación sexual,Presencial (cara a cara),82,60994.0
2018,Amenazas,Presencial (cara a cara),2797,2837151.0
2018,Extorsión,Teléfono — llamada de voz,6024,6139618.0
2018,Extorsión,Sin información,342,425104.0
2018,Extorsión,Internet / redes sociales,30,19650.0
2018,Extorsión,Presencial (cara a cara),5,6356.0
2018,Fraude al consumidor,Presencial (cara a cara),1980,1714304.0
2018,Fraude bancario,Teléfono (sin detalle),1797,1763256.0
2018,Fraude bancario,Correo / mensajería física,425,720010.0
2018,Fraude bancario,Presencial (cara a cara),101,138158.0
2018,Fraude bancario,Internet / redes sociales,111,116769.0
2018,Fraude bancario,Otro medio,69,70005.0
2018,Fraude bancario,Sin información,22,38181.0
2018,Hostigamiento / abuso sexual,Presencial (cara a cara),1037,1244240.0
2018,Lesiones físicas,Presencial (cara a cara),1048,1004432.0
2018,Otro delito,Presencial (cara a cara),87,67615.0
2018,Robo / asalto en calle o transporte,Presencial (cara a cara),6793,9460924.0
2018,Robo a casa habitación,No aplica (delito de hogar),6217,2343609.0
2018,Robo de accesorios de vehículo,No aplica (delito de hogar),7738,3206477.0
2018,Robo en otra forma,Presencial (cara a cara),1828,1521317.0
2018,Robo total de vehículo,No aplica (delito de hogar),1385,626088.0
2018,Secuestro,Presencial (cara a cara),64,85089.0
2018,Vandalismo / daño a propiedad,No aplica (delito de hogar),6692,2835224.0
2018,Violación sexual,Presencial (cara a cara),82,65954.0
2019,Amenazas,Presencial (cara a cara),2917,2842523.0
2019,Extorsión,Teléfono — llamada de voz,5247,5235399.0
2019,Extorsión,Sin información,402,380075.0
2019,Extorsión,Internet / redes sociales,50,72542.0
2019,Extorsión,Presencial (cara a cara),19,24785.0
2019,Extorsión,Presencial + seguimiento digital,4,3545.0
2019,Fraude al consumidor,Presencial (cara a cara),1984,1878865.0
2019,Fraude bancario,Teléfono (sin detalle),2153,2093200.0
2019,Fraude bancario,Correo / mensajería física,333,321441.0
2019,Fraude bancario,Internet / redes sociales,198,209658.0
2019,Fraude bancario,Presencial (cara a cara),136,155577.0
2019,Fraude bancario,Otro medio,30,40906.0
2019,Fraude bancario,Sin información,19,16426.0
2019,Hostigamiento / abuso sexual,Presencial (cara a cara),997,1322218.0
2019,Lesiones físicas,Presencial (cara a cara),1007,1032059.0
2019,Otro delito,Presencial (cara a cara),114,154509.0
2019,Robo / asalto en calle o transporte,Presencial (cara a cara),6419,9415088.0
2019,Robo a casa habitación,No aplica (delito de hogar),6296,2269882.0
2019,Robo de accesorios de vehículo,No aplica (delito de hogar),7764,3185166.0
2019,Robo en otra forma,Presencial (cara a cara),1862,1650651.0
2019,Robo total de vehículo,No aplica (delito de hogar),1443,605817.0
2019,Secuestro,Presencial (cara a cara),62,53738.0
2019,Vandalismo / daño a propiedad,No aplica (delito de hogar),6808,2729220.0
2019,Violación sexual,Presencial (cara a cara),92,71020.0
2020,Amenazas,Presencial (cara a cara),2611,2779312.0
2020,Extorsión,Teléfono — llamada de voz,3767,4103683.0
2020,Extorsión,Sin información,376,423528.0
2020,Extorsión,Internet / redes sociales,45,59496.0
2020,Extorsión,Presencial (cara a cara),21,25403.0
2020,Extorsión,Presencial + seguimiento digital,3,5165.0
2020,Fraude al consumidor,Presencial (cara a cara),1770,1726996.0
2020,Fraude bancario,Teléfono (sin detalle),1979,1988321.0
2020,Fraude bancario,Correo / mensajería física,211,335415.0
2020,Fraude bancario,Presencial (cara a cara),169,234683.0
2020,Fraude bancario,Internet / redes sociales,203,208360.0
2020,Fraude bancario,Otro medio,71,61362.0
2020,Fraude bancario,Sin información,25,21682.0
2020,Hostigamiento / abuso sexual,Presencial (cara a cara),1572,2374861.0
2020,Lesiones físicas,Presencial (cara a cara),961,1102457.0
2020,Otro delito,Presencial (cara a cara),99,100120.0
2020,Robo / asalto en calle o transporte,Presencial (cara a cara),5400,8176991.0
2020,Robo a casa habitación,No aplica (delito de hogar),4894,1855885.0
2020,Robo de accesorios de vehículo,No aplica (delito de hogar),6362,2817066.0
2020,Robo en otra forma,Presencial (cara a cara),1117,1022807.0
2020,Robo total de vehículo,No aplica (delito de hogar),1303,645618.0
2020,Secuestro,Presencial (cara a cara),73,107274.0
2020,Vandalismo / daño a propiedad,No aplica (delito de hogar),5441,2317653.0
2020,Violación sexual,Presencial (cara a cara),102,96752.0
2021,Amenazas,Presencial (cara a cara),2814,2672001.0
2021,Extorsión,Teléfono — llamada de voz,4010,4229131.0
2021,Extorsión,Sin información,362,371411.0
2021,Extorsión,Internet / redes sociales,33,30393.0
2021,Extorsión,Presencial (cara a cara),32,23479.0
2021,Extorsión,Presencial + seguimiento digital,9,6484.0
2021,Fraude al consumidor,Presencial (cara a cara),2257,2131777.0
